"","region","watershed","plot","subplot","individual","ramet","dbh","height","family","genus","epithet","code","NewPlotCode","Trat","Number","Trans","Perm"
"38","Caribe","Guajira","T1P1",2,"38",1,"6.1","9","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"39","Caribe","Guajira","T1P1",2,"39",1,"3","5","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"40","Caribe","Guajira","T1P1",2,"40",1,"4.2","6","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"41","Caribe","Guajira","T1P1",2,"40A",2,"3.1","4","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"42","Caribe","Guajira","T1P1",2,"42",1,"5","4","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"43","Caribe","Guajira","T1P1",2,"42A",2,"3.1","3","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"44","Caribe","Guajira","T1P1",2,"43",1,"15.2","7","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"45","Caribe","Guajira","T1P1",2,"44",1,"4.1","5","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"46","Caribe","Guajira","T1P1",3,"47",1,"2.5","3","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"47","Caribe","Guajira","T1P1",3,"48",1,"7.7","9","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"48","Caribe","Guajira","T1P1",3,"49",1,"7.3","7","ANACARDIACEAE","Astronium","graveolens","Astrgrav","T1P1","G-T1P1",1,"Medium","Medium"
"49","Caribe","Guajira","T1P1",3,"50",1,"6.2","10","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"50","Caribe","Guajira","T1P1",3,"51",1,"3","4","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"51","Caribe","Guajira","T1P1",3,"51A",2,"28","3","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"52","Caribe","Guajira","T1P1",3,"52",1,"4.1","5","ARALIACEAE","Dendropanax","arboreus","Dendarbo","T1P1","G-T1P1",1,"Medium","Medium"
"53","Caribe","Guajira","T1P1",3,"53",1,"3","6","EUPHORBIACEAE","Acalypha","diversifolia","Acaldive","T1P1","G-T1P1",1,"Medium","Medium"
"54","Caribe","Guajira","T1P1",3,"54",1,"19.5","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"55","Caribe","Guajira","T1P1",3,"55",1,"6","6","ARALIACEAE","Dendropanax","arboreus","Dendarbo","T1P1","G-T1P1",1,"Medium","Medium"
"56","Caribe","Guajira","T1P1",3,"56",1,"6.2","8","SAPINDACEAE","Cupania","americana","Cupaamer","T1P1","G-T1P1",1,"Medium","Medium"
"57","Caribe","Guajira","T1P1",3,"57",1,"9.2","11","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"58","Caribe","Guajira","T1P1",3,"58",1,"3.1","7","SAPINDACEAE","Cupania","americana","Cupaamer","T1P1","G-T1P1",1,"Medium","Medium"
"59","Caribe","Guajira","T1P1",3,"59",1,"13.5","8","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"60","Caribe","Guajira","T1P1",3,"60",1,"4.2","5","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"61","Caribe","Guajira","T1P1",3,"62",1,"9.2","8","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"62","Caribe","Guajira","T1P1",3,"63",1,"4.1","4","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"63","Caribe","Guajira","T1P1",3,"64",1,"6.1","9","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"64","Caribe","Guajira","T1P1",3,"66",1,"11.4","6","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","T1P1","G-T1P1",1,"Medium","Medium"
"65","Caribe","Guajira","T1P1",3,"67",1,"28.3","14","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"66","Caribe","Guajira","T1P1",4,"71",1,"3.2","5","SAPINDACEAE","Cupania","americana","Cupaamer","T1P1","G-T1P1",1,"Medium","Medium"
"67","Caribe","Guajira","T1P1",4,"74",1,"6.3","6","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"68","Caribe","Guajira","T1P1",4,"75",1,"4.1","6","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"69","Caribe","Guajira","T1P1",4,"76",1,"15.7","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"70","Caribe","Guajira","T1P1",4,"77",1,"6.2","6","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"71","Caribe","Guajira","T1P1",4,"78",1,"14.3","15","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"72","Caribe","Guajira","T1P1",4,"79",1,"3.1","4","MORACEAE","Clarisia","biflora","Clarbifl","T1P1","G-T1P1",1,"Medium","Medium"
"73","Caribe","Guajira","T1P1",4,"80",1,"4.2","4","BIGNONIACEAE","Adenocalymma","aspericarpum","Adenaspe","T1P1","G-T1P1",1,"Medium","Medium"
"74","Caribe","Guajira","T1P1",4,"80A",2,"3.3","5","BIGNONIACEAE","Adenocalymma","aspericarpum","Adenaspe","T1P1","G-T1P1",1,"Medium","Medium"
"75","Caribe","Guajira","T1P1",4,"81",1,"4","8","SAPINDACEAE","Cupania","americana","Cupaamer","T1P1","G-T1P1",1,"Medium","Medium"
"76","Caribe","Guajira","T1P1",4,"82",1,"17.5","14","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"77","Caribe","Guajira","T1P1",4,"83",1,"3.4","4","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","T1P1","G-T1P1",1,"Medium","Medium"
"78","Caribe","Guajira","T1P1",4,"84",1,"4.2","7","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"79","Caribe","Guajira","T1P1",4,"85",1,"3","6","SAPINDACEAE","Cupania","americana","Cupaamer","T1P1","G-T1P1",1,"Medium","Medium"
"80","Caribe","Guajira","T1P1",4,"86",1,"9.2","9","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","T1P1","G-T1P1",1,"Medium","Medium"
"81","Caribe","Guajira","T1P1",4,"87",1,"4","7","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"82","Caribe","Guajira","T1P1",4,"88",1,"3.2","4","EUPHORBIACEAE","Acalypha","diversifolia","Acaldive","T1P1","G-T1P1",1,"Medium","Medium"
"83","Caribe","Guajira","T1P1",4,"89",1,"15.3","8","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"84","Caribe","Guajira","T1P1",4,"90",1,"22.3","15","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"85","Caribe","Guajira","T1P1",4,"91",1,"9.1","10","RUBIACEAE","Pittoniotis","sp","Pittsp","T1P1","G-T1P1",1,"Medium","Medium"
"86","Caribe","Guajira","T1P1",4,"92",1,"3.1","5","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","T1P1","G-T1P1",1,"Medium","Medium"
"87","Caribe","Guajira","T1P1",4,"93",1,"3.2","5","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","T1P1","G-T1P1",1,"Medium","Medium"
"88","Caribe","Guajira","T1P1",5,"94",1,"21.1","18","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"89","Caribe","Guajira","T1P1",5,"95",1,"3.3","5","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"90","Caribe","Guajira","T1P1",5,"95A",2,"3","4","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"91","Caribe","Guajira","T1P1",5,"96",1,"13.4","6","","","","","T1P1","G-T1P1",1,"Medium","Medium"
"92","Caribe","Guajira","T1P1",5,"97",1,"5.1","7","APOCYNACEAE","Thevetia","ahouai","Thevahou","T1P1","G-T1P1",1,"Medium","Medium"
"93","Caribe","Guajira","T1P1",5,"98",1,"5.2","5","EUPHORBIACEAE","Acalypha","diversifolia","Acaldive","T1P1","G-T1P1",1,"Medium","Medium"
"94","Caribe","Guajira","T1P1",5,"98A",2,"4.6","4","EUPHORBIACEAE","Acalypha","diversifolia","Acaldive","T1P1","G-T1P1",1,"Medium","Medium"
"95","Caribe","Guajira","T1P1",5,"99",1,"3.1","7","FABACEAE","Senna","sp1","Sennsp1","T1P1","G-T1P1",1,"Medium","Medium"
"96","Caribe","Guajira","T1P1",5,"100",1,"4.1","5","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","T1P1","G-T1P1",1,"Medium","Medium"
"97","Caribe","Guajira","T1P1",5,"101",1,"3.1","4","ARALIACEAE","Dendropanax","arboreus","Dendarbo","T1P1","G-T1P1",1,"Medium","Medium"
"98","Caribe","Guajira","T1P1",5,"102",1,"5.3","6","ARALIACEAE","Dendropanax","arboreus","Dendarbo","T1P1","G-T1P1",1,"Medium","Medium"
"99","Caribe","Guajira","T1P1",5,"103",1,"36.4","10","ARECACEAE","Attalea","butyracea","Attabuty","T1P1","G-T1P1",1,"Medium","Medium"
"100","Caribe","Guajira","T1P1",5,"104",1,"6.3","8","PIPERACEAE","Piper","reticulatum","Pipereti","T1P1","G-T1P1",1,"Medium","Medium"
"101","Caribe","Guajira","T1P1",5,"104A",2,"5.3","4","PIPERACEAE","Piper","reticulatum","Pipereti","T1P1","G-T1P1",1,"Medium","Medium"
"102","Caribe","Guajira","T1P1",5,"105",1,"8.1","11","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"103","Caribe","Guajira","T1P1",5,"106",1,"5.5","7","PIPERACEAE","Piper","reticulatum","Pipereti","T1P1","G-T1P1",1,"Medium","Medium"
"104","Caribe","Guajira","T1P1",5,"107",1,"7.3","9","ARALIACEAE","Dendropanax","arboreus","Dendarbo","T1P1","G-T1P1",1,"Medium","Medium"
"105","Caribe","Guajira","T1P1",5,"108",1,"5.7","3","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","T1P1","G-T1P1",1,"Medium","Medium"
"106","Caribe","Guajira","T1P1",5,"109",1,"11.4","9","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"107","Caribe","Guajira","T1P1",5,"110",1,"4.3","5","MALVACEAE","Malvaviscus","concinnus","Malvconc","T1P1","G-T1P1",1,"Medium","Medium"
"108","Caribe","Guajira","T1P1",5,"111",1,"4.4","7","PIPERACEAE","Piper","reticulatum","Pipereti","T1P1","G-T1P1",1,"Medium","Medium"
"109","Caribe","Guajira","T1P1",5,"112",1,"3.2","7","PIPERACEAE","Piper","reticulatum","Pipereti","T1P1","G-T1P1",1,"Medium","Medium"
"110","Caribe","Guajira","T1P1",5,"113",1,"6.3","","PERACEAE","Pera","arborea","Peraarbo","T1P1","G-T1P1",1,"Medium","Medium"
"111","Caribe","Guajira","T1P1",5,"114",1,"17.3","14","PERACEAE","Pera","arborea","Peraarbo","T1P1","G-T1P1",1,"Medium","Medium"
"112","Caribe","Guajira","T1P1",6,"115",1,"38.3","11","MORACEAE","Ficus","insipida","Ficuinsi","T1P1","G-T1P1",1,"Medium","Medium"
"113","Caribe","Guajira","T1P1",6,"116",1,"4.1","7","ANACARDIACEAE","Astronium","graveolens","Astrgrav","T1P1","G-T1P1",1,"Medium","Medium"
"114","Caribe","Guajira","T1P1",6,"117",1,"23.6","12","MORACEAE","Clarisia","biflora","Clarbifl","T1P1","G-T1P1",1,"Medium","Medium"
"115","Caribe","Guajira","T1P1",6,"119",1,"4.6","6","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"116","Caribe","Guajira","T1P1",6,"120",1,"23.6","11","URTICACEAE","Cecropia","sp","Cecrsp","T1P1","G-T1P1",1,"Medium","Medium"
"117","Caribe","Guajira","T1P1",6,"121",1,"4","7","MELIACEAE","Guarea","guidonia","Guarguid","T1P1","G-T1P1",1,"Medium","Medium"
"118","Caribe","Guajira","T1P1",6,"123",1,"5.6","6","MORACEAE","Clarisia","biflora","Clarbifl","T1P1","G-T1P1",1,"Medium","Medium"
"119","Caribe","Guajira","T1P1",6,"124",1,"5.3","8","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"120","Caribe","Guajira","T1P1",6,"125",1,"5.2","8","PIPERACEAE","Piper","reticulatum","Pipereti","T1P1","G-T1P1",1,"Medium","Medium"
"121","Caribe","Guajira","T1P1",6,"126",1,"4.7","7","SAPINDACEAE","Cupania","americana","Cupaamer","T1P1","G-T1P1",1,"Medium","Medium"
"122","Caribe","Guajira","T1P1",7,"127",1,"4.2","6","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","T1P1","G-T1P1",1,"Medium","Medium"
"123","Caribe","Guajira","T1P1",7,"128",1,"25.4","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"124","Caribe","Guajira","T1P1",7,"129",1,"5.6","6","ARALIACEAE","Dendropanax","arboreus","Dendarbo","T1P1","G-T1P1",1,"Medium","Medium"
"125","Caribe","Guajira","T1P1",7,"130",1,"21.7","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"126","Caribe","Guajira","T1P1",7,"130A",2,"23.3","9","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"127","Caribe","Guajira","T1P1",7,"131",1,"4.5","6","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"128","Caribe","Guajira","T1P1",7,"132",1,"4.7","5","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"129","Caribe","Guajira","T1P1",7,"134",1,"29.2","8","ARECACEAE","Attalea","butyracea","Attabuty","T1P1","G-T1P1",1,"Medium","Medium"
"130","Caribe","Guajira","T1P1",7,"134A",2,"22.7","10","ARECACEAE","Attalea","butyracea","Attabuty","T1P1","G-T1P1",1,"Medium","Medium"
"131","Caribe","Guajira","T1P1",7,"135",1,"14.9","12","URTICACEAE","Cecropia","sp","Cecrsp","T1P1","G-T1P1",1,"Medium","Medium"
"132","Caribe","Guajira","T1P1",7,"137",1,"4.2","","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"133","Caribe","Guajira","T1P1",7,"138",1,"6.1","6","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"134","Caribe","Guajira","T1P1",7,"140",1,"7.8","6","FABACEAE","Zygia","inaequalis","Zygiinae","T1P1","G-T1P1",1,"Medium","Medium"
"135","Caribe","Guajira","T1P1",7,"141",1,"5.6","7","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"136","Caribe","Guajira","T1P1",7,"143",1,"24.2","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"137","Caribe","Guajira","T1P1",7,"144",1,"12","10","MELIACEAE","Guarea","guidonia","Guarguid","T1P1","G-T1P1",1,"Medium","Medium"
"138","Caribe","Guajira","T1P1",7,"145",1,"15","","","","","","T1P1","G-T1P1",1,"Medium","Medium"
"139","Caribe","Guajira","T1P1",7,"146",1,"9.9","7","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"140","Caribe","Guajira","T1P1",7,"147",1,"4.6","6","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"141","Caribe","Guajira","T1P1",7,"148",1,"5.2","6","FABACEAE","Machaerium","sp4","Machsp4","T1P1","G-T1P1",1,"Medium","Medium"
"142","Caribe","Guajira","T1P1",8,"149",1,"6.5","5","LAURACEAE","Nectandra","turbacensis","Nectturb","T1P1","G-T1P1",1,"Medium","Medium"
"143","Caribe","Guajira","T1P1",8,"150",1,"10.3","6","MALVACEAE","Luehea","seemannii","Luehseem","T1P1","G-T1P1",1,"Medium","Medium"
"144","Caribe","Guajira","T1P1",8,"150A",2,"5.4","4","MALVACEAE","Luehea","seemannii","Luehseem","T1P1","G-T1P1",1,"Medium","Medium"
"145","Caribe","Guajira","T1P1",8,"151",1,"8.3","7","PHYLLANTHACEAE","Phyllanthus","acuminatus","Phylacum","T1P1","G-T1P1",1,"Medium","Medium"
"146","Caribe","Guajira","T1P1",8,"152",1,"4.7","6","MELIACEAE","Guarea","guidonia","Guarguid","T1P1","G-T1P1",1,"Medium","Medium"
"147","Caribe","Guajira","T1P1",8,"153",1,"4.3","5","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"148","Caribe","Guajira","T1P1",8,"154",1,"8.2","6","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"149","Caribe","Guajira","T1P1",8,"155",1,"13.2","8","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"150","Caribe","Guajira","T1P1",8,"155A",2,"7.4","7","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"151","Caribe","Guajira","T1P1",8,"157",1,"22.1","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"152","Caribe","Guajira","T1P1",8,"158",1,"5.5","7","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"153","Caribe","Guajira","T1P1",8,"159",1,"16.4","10","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"154","Caribe","Guajira","T1P1",9,"160",1,"7","7","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","T1P1","G-T1P1",1,"Medium","Medium"
"155","Caribe","Guajira","T1P1",9,"161",1,"3.2","4","URTICACEAE","Myriocarpa","longipes","Myrilong","T1P1","G-T1P1",1,"Medium","Medium"
"156","Caribe","Guajira","T1P1",9,"162",1,"4.1","5","ELAEOCARPACEAE","Sloanea","tuerckheimii","Sloatuer","T1P1","G-T1P1",1,"Medium","Medium"
"157","Caribe","Guajira","T1P1",9,"163",1,"9.5","9","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","T1P1","G-T1P1",1,"Medium","Medium"
"158","Caribe","Guajira","T1P1",9,"164",1,"8.8","8","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"159","Caribe","Guajira","T1P1",9,"165",1,"11","10","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"160","Caribe","Guajira","T1P1",9,"166",1,"11.2","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"161","Caribe","Guajira","T1P1",9,"167",1,"3.3","7","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"162","Caribe","Guajira","T1P1",9,"168",1,"5.3","6","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"163","Caribe","Guajira","T1P1",9,"169",1,"15.8","12","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"164","Caribe","Guajira","T1P1",9,"170",1,"8.3","5","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","T1P1","G-T1P1",1,"Medium","Medium"
"165","Caribe","Guajira","T1P1",9,"171",1,"6.4","8","FABACEAE","Inga","sp1","Ingasp1","T1P1","G-T1P1",1,"Medium","Medium"
"166","Caribe","Guajira","T1P1",9,"172",1,"8.3","9","MORACEAE","Clarisia","biflora","Clarbifl","T1P1","G-T1P1",1,"Medium","Medium"
"167","Caribe","Guajira","T1P1",9,"173",1,"4.5","5","MYRISTICACEAE","Virola","sebifera","Virosebi","T1P1","G-T1P1",1,"Medium","Medium"
"168","Caribe","Guajira","T1P1",9,"174",1,"6.6","7","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"169","Caribe","Guajira","T1P1",9,"175",1,"4.9","4","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","T1P1","G-T1P1",1,"Medium","Medium"
"170","Caribe","Guajira","T1P1",9,"176",1,"66.4","12","ARECACEAE","Attalea","butyracea","Attabuty","T1P1","G-T1P1",1,"Medium","Medium"
