"","Original","Adjusted","VSpNm","genus","family","life_form","code","txresol","life_form_w","threat_st"
"48","Albizia samanea","Albizia samanea","Albizia","Albizia","Fabaceae","treelet","Albisp","genus","treelet",NA
"49","Albizia sp","Albizia sp","Albizia","Albizia","Fabaceae","treelet","Albisp","genus","treelet",NA
"50","Albizia subdimidiata","Albizia subdimidiata","Albizia subdimidiata","Albizia","Fabaceae",NA,"Albisubdi","species",NA,NA
"51","Albizzia guachapele","Albizia guachapele","Albizia guachapele","Albizia","Fabaceae",NA,"Albiguach","species",NA,NA
"52","Albizzia niopoides","Albizia niopoides","Albizia niopoides","Albizia","Fabaceae","tree","Albiniop","species","tree","LC"
"53","Albizzia saman","Albizia samanea","Albizia","Albizia","Fabaceae","treelet","Albisp","genus","treelet",NA
"54","Alchornea discolor","Alchornea discolor","Alchornea discolor","Alchornea",NA,NA,"Alchdisco","species","tree",NA
"55","Alchornea sp","Alchornea sp","Alchornea","Alchornea",NA,NA,"Alchsp","genus",NA,NA
"56","Alchornea triplinervia","Alchornea triplinervia","Alchornea triplinervia","Alchornea",NA,NA,"Alchtripl","species","shrub",NA
"57","Allophyllus amazonicus","Allophylus amazonicus","Allophylus amazonicus","Allophylus","Sapindaceae",NA,"Alloamazo","species","tree",NA
"58","Alophyllus amazonicus","Allophylus amazonicus","Allophylus amazonicus","Allophylus","Sapindaceae",NA,"Alloamazo","species","tree",NA
"59","Amaioua cf corymbosa","Amaioua corymbosa","Amaioua corymbosa","Amaioua","Rubiaceae","tree","Amaicory","species","tree",NA
"60","Amirys pinnata","Amyris pinnata","Amyris pinnata","Amyris","Rutaceae","tree","Amyrpinn","species","tree",NA
"61","Ampelocera macphersonii","Ampelocera macphersonii","Ampelocera macphersonii","Ampelocera","Ulmaceae","tree","Ampemacp","species","tree",NA
"62","Amphilophium granulosum","Amphilophium granulosum","Amphilophium granulosum","Amphilophium","Bignoniaceae",NA,"Amphgranu","species","liana",NA
"63","Amyris pinnata","Amyris pinnata","Amyris pinnata","Amyris","Rutaceae","tree","Amyrpinn","species","tree",NA
"64","Anacarcium excelsum","Anacardium excelsum","Anacardium excelsum","Anacardium","Anacardiaceae","tree","Anacexce","species","tree",NA
"65","Anacardium excelsum","Anacardium excelsum","Anacardium excelsum","Anacardium","Anacardiaceae","tree","Anacexce","species","tree",NA
"66","Anacarium excelsum","Anacardium excelsum","Anacardium excelsum","Anacardium","Anacardiaceae","tree","Anacexce","species","tree",NA
"67","Anacradium excelsum","Anacardium excelsum","Anacardium excelsum","Anacardium","Anacardiaceae","tree","Anacexce","species","tree",NA
"68","Anadenanthera pere","Anadenanthera peregrina","Anadenanthera peregrina","Anadenanthera",NA,NA,"Anadpereg","species",NA,NA
"69","Anadenanthera peregrina","Anadenanthera peregrina","Anadenanthera peregrina","Anadenanthera",NA,NA,"Anadpereg","species",NA,NA
"70","Anadenathera peregrina","Anadenanthera peregrina","Anadenanthera peregrina","Anadenanthera",NA,NA,"Anadpereg","species",NA,NA
"71","Andira cf inermis","Andira inermis","Andira inermis","Andira",NA,NA,"Andiinerm","species","tree",NA
"72","Andira guianensis","Andira guianensis","Andira","Andira",NA,NA,"Andisp","genus",NA,NA
"73","Andira surinamensis","Andira surinamensis","Andira surinamensis","Andira",NA,NA,"Andisurin","species","tree",NA
"74","Angarillo sp","Chloroleucon mangense","Chloroleucon mangense","Chloroleucon","Fabaceae","tree","Chlomang","species","tree",NA
"75","Aniba sp","Aniba sp","Aniba","Aniba",NA,NA,"Anibsp","genus",NA,NA
"76","Annon sp","Annona sp","Annona","Annona","Annonaceae",NA,"Annosp","genus",NA,NA
"77","Annona anonaceae amarilla","Annona sp","Annona","Annona","Annonaceae",NA,"Annosp","genus",NA,NA
"78","Annona edulis","Annona edulis","Annona edulis","Annona","Annonaceae",NA,"Annoeduli","species","tree",NA
"79","Annona exsucca","Annona exsucca","Annona exsucca","Annona","Annonaceae",NA,"Annoexsuc","species","tree",NA
"80","Annona glabra","Annona glabra","Annona glabra","Annona","Annonaceae",NA,"Annoglabr","species","tree","LC"
"81","Annona jahnii","Annona jahnii","Annona jahnii","Annona","Annonaceae","tree","Annojahn","species","tree",NA
"82","Annona muricata","Annona muricata","Annona muricata","Annona","Annonaceae","tree","Annomuri","species","tree",NA
"83","Annona reticulata","Annona reticulata","Annona reticulata","Annona","Annonaceae",NA,"Annoretic","species","tree",NA
"84","Annona sp","Annona sp","Annona","Annona","Annonaceae",NA,"Annosp","genus",NA,NA
"85","Annonaceae sp","Annonaceae","Annonaceae","Annonaceae",NA,NA,"Annofm","family",NA,NA
"86","Apeiba sp","Apeiba sp","Apeiba","Apeiba","Malvaceae",NA,"Apeisp","genus",NA,NA
"87","Apeiba tibourbou","Apeiba tibourbou","Apeiba tibourbou","Apeiba","Malvaceae","tree","Apeitibo","species","tree",NA
"88","Aphelandra pulcherrima","Aphelandra pulcherrima","Aphelandra pulcherrima","Aphelandra","Acanthaceae",NA,"Aphepulch","species","treelet",NA
"89","Apuleia leicarpa","Apuleia leiocarpa","Apuleia leiocarpa","Apuleia",NA,NA,"Apulleioc","species","tree","VU"
"90","Apuleia leiocarpa","Apuleia leiocarpa","Apuleia leiocarpa","Apuleia",NA,NA,"Apulleioc","species","tree","VU"
"91","Aralia excelsa","Aralia excelsa","Aralia excelsa","Aralia","Araliaceae","treelet","Aralexce","species","treelet",NA
"92","Ardisia guianensis","Ardisia guianensis","Ardisia guianensis","Ardisia","Primulaceae",NA,"Ardiguian","species","treelet",NA
"93","Argemone mexicana","Argemone mexicana","Argemone mexicana","Argemone",NA,NA,"Argemexic","species","forb",NA
"94","Aristoloquia sp","Aristolochia sp","Aristolochia","Aristolochia","Aristolochiaceae","liana","Arissp","genus","liana",NA
"95","Arrayan escobo","Myrcia sp","Myrcia","Myrcia","Myrtaceae","tree","Myrcsp2","genus","tree",NA
"96","Aspidospema polyneuron","Aspidosperma polyneuron","Aspidosperma polyneuron","Aspidosperma","Apocynaceae","tree","Aspipoly","species","tree","NT"
"97","Aspidosperma cf spruceanum","Aspidosperma spruceanum","Aspidosperma spruceanum","Aspidosperma","Apocynaceae",NA,"Aspispruc","species","tree","LC"
"98","Aspidosperma cuspa","Aspidosperma cuspa","Aspidosperma cuspa","Aspidosperma","Apocynaceae","tree","Aspicusp","species","tree",NA
"99","Aspidosperma ployneuron","Aspidosperma polyneuron","Aspidosperma polyneuron","Aspidosperma","Apocynaceae","tree","Aspipoly","species","tree","NT"
"100","Aspidosperma polineurum","Aspidosperma polyneuron","Aspidosperma polyneuron","Aspidosperma","Apocynaceae","tree","Aspipoly","species","tree","NT"
"101","Aspidosperma polyneurom","Aspidosperma polyneuron","Aspidosperma polyneuron","Aspidosperma","Apocynaceae","tree","Aspipoly","species","tree","NT"
"102","Aspidosperma polyneuron","Aspidosperma polyneuron","Aspidosperma polyneuron","Aspidosperma","Apocynaceae","tree","Aspipoly","species","tree","NT"
"103","Aspidosperma spruceanum","Aspidosperma spruceanum","Aspidosperma spruceanum","Aspidosperma","Apocynaceae",NA,"Aspispruc","species","tree","LC"
"104","Astonium gravedens","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"105","Astoriom gramoles","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"106","Astorium gravedes","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"107","Astrocaryum jauari","Astrocaryum jauari","Astrocaryum jauari","Astrocaryum",NA,NA,"Astrjauar","species","palm",NA
"108","Astromiun garveolens","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"109","Astromiun graveolens","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"110","Astronium fraxinifolium","Astronium fraxinifolium","Astronium fraxinifolium","Astronium","Anacardiaceae",NA,"Astrfraxi","species","tree","LC"
"111","Astronium garveolens","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"112","Astronium gnavedes","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"113","Astronium gravedes","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"114","Astronium graveoklens","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"115","Astronium graveolens","Astronium graveolens","Astronium graveolens","Astronium","Anacardiaceae","tree","Astrgrav","species","tree","LC"
"116","Astronium sp","Astronium sp","Astronium","Astronium","Anacardiaceae",NA,"Astrsp","genus",NA,NA
"117","Atalea butyracea","Attalea butyracea","Attalea butyracea","Attalea","Arecaceae","palm","Attabuty","species","palm",NA
"118","Attalea butyracea","Attalea butyracea","Attalea butyracea","Attalea","Arecaceae","palm","Attabuty","species","palm",NA
"119","Attalea butyracea ","Attalea butyracea","Attalea butyracea","Attalea","Arecaceae","palm","Attabuty","species","palm",NA
"120","Attalea butyraceae","Attalea butyracea","Attalea butyracea","Attalea","Arecaceae","palm","Attabuty","species","palm",NA
"121","Attalea maripa","Attalea maripa","Attalea maripa","Attalea","Arecaceae",NA,"Attamarip","species","forb",NA
"122","Attalea sp","Attalea sp","Attalea","Attalea","Arecaceae",NA,"Attasp","genus",NA,NA
"123","Attlalea butyracea","Attalea butyracea","Attalea butyracea","Attalea","Arecaceae","palm","Attabuty","species","palm",NA
"124","Bactris gasipaes","Bactris gasipaes","Bactris gasipaes","Bactris","Arecaceae",NA,"Bactgasip","species","palm",NA
"125","Bactris gasipaes var chichagui","Bactris gasipaes","Bactris gasipaes","Bactris","Arecaceae",NA,"Bactgasip","species","palm",NA
"126","Bactris guineensis","Bactris guineensis","Bactris guineensis","Bactris","Arecaceae",NA,"Bactguine","species",NA,NA
"127","Bactris macana","Bactris macana","Bactris macana","Bactris","Arecaceae",NA,"Bactmacan","species","forb",NA
"128","Bactris major","Bactris major","Bactris major","Bactris","Arecaceae",NA,"Bactmajor","species","palm",NA
"129","Bactris minor","Bactris minor","Bactris minor","Bactris","Arecaceae",NA,"Bactminor","species","palm",NA
"130","Bahuinia ungulata","Bauhinia ungulata","Bauhinia ungulata","Bauhinia","Fabaceae",NA,"Bauhungul","species","tree",NA
"131","Bambusa guadua","Bambusa guadua","Bambusa guadua","Bambusa",NA,NA,"Bambguadu","species",NA,NA
"132","Bambusa vulgaris","Bambusa vulgaris","Bambusa vulgaris","Bambusa",NA,NA,"Bambvulga","species","tree",NA
"133","Bauhinia aculeata","Bauhinia aculeata","Bauhinia aculeata","Bauhinia","Fabaceae",NA,"Bauhacule","species",NA,NA
"134","Bauhinia angulata","Bauhinia angulata","Bauhinia angulata","Bauhinia","Fabaceae",NA,"Bauhangul","species","tree",NA
"135","Bauhinia glabra","Bauhinia glabra","Bauhinia glabra","Bauhinia","Fabaceae","liana","Bauhglab","species","liana",NA
"136","Bauhinia guianensis","Bauhinia guianensis","Bauhinia guianensis","Bauhinia","Fabaceae",NA,"Bauhguian","species",NA,NA
"137","Bauhinia picta","Bauhinia picta","Bauhinia picta","Bauhinia","Fabaceae",NA,"Bauhpicta","species",NA,NA
"138","Bauhinia pictan","Bauhinia picta","Bauhinia picta","Bauhinia","Fabaceae",NA,"Bauhpicta","species",NA,NA
"139","Bauhinia ungulata","Bauhinia ungulata","Bauhinia ungulata","Bauhinia","Fabaceae",NA,"Bauhungul","species","tree",NA
"140","Bauhinia ungulata ","Bauhinia ungulata","Bauhinia ungulata","Bauhinia","Fabaceae",NA,"Bauhungul","species","tree",NA
"141","Belencita nemorosa","Belencita nemorosa","Belencita nemorosa","Belencita","Capparaceae","shrub","Belenemo","species","shrub",NA
"142","Bellucia grossularioides","Bellucia grossularioides","Bellucia grossularioides","Bellucia",NA,NA,"Bellgross","species","tree",NA
"143","Bignonia corymbosa","Bignonia corymbosa","Bignonia corymbosa","Bignonia","Bignoniaceae",NA,"Bigncorym","species","liana",NA
"144","Bixa urucurana","Bixa urucurana","Bixa urucurana","Bixa",NA,NA,"Bixaurucu","species","tree",NA
"145","Bocageopsis multiflora","Bocageopsis multiflora","Bocageopsis multiflora","Bocageopsis",NA,NA,"Bocamulti","species","tree",NA
"146","Boehmeria sp","Boehmeria sp","Boehmeria","Boehmeria",NA,NA,"Boehsp","genus",NA,NA
"147","Borwnea rosa demonte","Brownea rosa-de-monte","Brownea rosa-de-monte","Brownea","Fabaceae",NA,"Browrosa","species",NA,NA
"148","Bourreria cumanensis","Bourreria cumanensis","Bourreria cumanensis","Bourreria","Boraginaceae","tree","Bourcuma","species","tree",NA
"149","Bourreria sp","Bourreria sp","Bourreria","Bourreria","Boraginaceae",NA,"Boursp","genus",NA,NA
"150","Brachiaria decumbens","Brachiaria decumbens","Brachiaria decumbens","Brachiaria",NA,NA,"Bracdecum","species","forb",NA
"151","Bravaisia integerrima","Bravaisia integerrima","Bravaisia integerrima","Bravaisia",NA,NA,"Bravinteg","species",NA,NA
"152","Bromelia karatas","Bromelia karatas","Bromelia karatas","Bromelia",NA,NA,"Bromkarat","species",NA,NA
"153","Bromelia pinguin","Bromelia pinguin","Bromelia pinguin","Bromelia",NA,NA,"Brompingu","species",NA,NA
"154","Bromelia pingun","Bromelia pinguin","Bromelia pinguin","Bromelia",NA,NA,"Brompingu","species",NA,NA
"155","Bromelia sp","Bromelia sp","Bromelia","Bromelia",NA,NA,"Bromsp","genus",NA,NA
"156","Brosimum alicastrum","Brosimum alicastrum","Brosimum alicastrum","Brosimum","Moraceae","tree","Brosalic","species","tree",NA
"157","Brosimum alicastrun","Brosimum alicastrum","Brosimum alicastrum","Brosimum","Moraceae","tree","Brosalic","species","tree",NA
"158","Brosimum allicastrum","Brosimum alicastrum","Brosimum alicastrum","Brosimum","Moraceae","tree","Brosalic","species","tree",NA
"159","Brosimum guianense","Brosimum guianense","Brosimum guianense","Brosimum","Moraceae","tree","Brosguia","species","tree",NA
"160","Brosimum sp","Brosimum sp","Brosimum","Brosimum","Moraceae","tree","Brossp","genus","tree",NA
"161","Brosimun alicastrum","Brosimum alicastrum","Brosimum alicastrum","Brosimum","Moraceae","tree","Brosalic","species","tree",NA
"162","Brosumun sp","Brosimum sp","Brosimum","Brosimum","Moraceae","tree","Brossp","genus","tree",NA
"163","Brownea ariza","Brownea ariza","Brownea ariza","Brownea","Fabaceae","tree","Browariz","species","tree",NA
"164","Brownea rosa de monte","Brownea rosa-de-monte","Brownea rosa-de-monte","Brownea","Fabaceae",NA,"Browrosa","species",NA,NA
"165","Brownea sp","Brownea sp","Brownea","Brownea","Fabaceae",NA,"Browsp","genus",NA,NA
"166","Buchanavia tetraphylla","Buchenavia tetraphylla","Buchenavia tetraphylla","Buchenavia",NA,NA,"Buchtetra","species","tree",NA
"167","Buchenav sp","Buchenavia sp","Buchenavia","Buchenavia",NA,NA,"Buchsp","genus",NA,NA
"168","Buchenavia tetraphylla","Buchenavia tetraphylla","Buchenavia tetraphylla","Buchenavia",NA,NA,"Buchtetra","species","tree",NA
"169","Buchenavia tretraphylla","Buchenavia tetraphylla","Buchenavia tetraphylla","Buchenavia",NA,NA,"Buchtetra","species","tree",NA
"170","Bulneisa arborea","Bulnesia arborea","Bulnesia arborea","Bulnesia","Zygophyllaceae","tree","Bulnarbo","species","tree",NA
"171","Bulnesia arborea","Bulnesia arborea","Bulnesia arborea","Bulnesia","Zygophyllaceae","tree","Bulnarbo","species","tree",NA
"172","Bulnesia carrapo","Bulnesia carrapo","Bulnesia carrapo","Bulnesia","Zygophyllaceae",NA,"Bulncarra","species",NA,NA
"173","Bunchosia arborea","Bunchosia arborea","Bunchosia","Bunchosia","Malpighiaceae","shrub","Buncsp","genus","shrub",NA
"174","Bunchosia odorata","Bunchosia odorata","Bunchosia odorata","Bunchosia","Malpighiaceae","shrub","Buncodor","species","shrub",NA
"175","Bunchosia odoratissima","Bunchosia odoratissima","Bunchosia","Bunchosia","Malpighiaceae","shrub","Buncsp","genus","shrub",NA
"176","Bunchosia pseudonitida","Bunchosia pseudonitida","Bunchosia pseudonitida","Bunchosia","Malpighiaceae","tree","Buncpseu","species","tree",NA
"177","Bur sp","Bursera sp","Bursera","Bursera","Burseraceae",NA,"Burssp","genus",NA,NA
"178","Buresera sp","Bursera sp","Bursera","Bursera","Burseraceae",NA,"Burssp","genus",NA,NA
"179","Bursera glabra","Bursera glabra","Bursera glabra","Bursera","Burseraceae",NA,"Bursglabr","species",NA,NA
"180","Bursera graveolens","Bursera graveolens","Bursera graveolens","Bursera","Burseraceae","tree","Bursgrav","species","tree",NA
"181","Bursera simarouba","Bursera simaruba","Bursera simaruba","Bursera","Burseraceae","tree","Burssima","species","tree","VU"
"182","Bursera simaruba","Bursera simaruba","Bursera simaruba","Bursera","Burseraceae","tree","Burssima","species","tree","VU"
"183","Bursera simiruba","Bursera simaruba","Bursera simaruba","Bursera","Burseraceae","tree","Burssima","species","tree","VU"
"184","Bursera sp","Bursera sp","Bursera","Bursera","Burseraceae",NA,"Burssp","genus",NA,NA
"185","Bursera tamentosa","Bursera tamentosa","Bursera tomentosa","Bursera","Burseraceae","tree","Burstome","species","tree",NA
"186","Buulnesia arborea","Bulnesia arborea","Bulnesia arborea","Bulnesia","Zygophyllaceae","tree","Bulnarbo","species","tree",NA
"187","Buxus citrifolia","Buxus citrifolia","Buxus citrifolia","Buxus",NA,NA,"Buxucitri","species",NA,NA
"188","Byrsonim sp","Byrsonima sp","Byrsonima","Byrsonima",NA,NA,"Byrssp","genus",NA,NA
"189","Byrsonima crassifolia","Byrsonima crassifolia","Byrsonima crassifolia","Byrsonima",NA,NA,"Byrscrass","species","tree",NA
"190","Byrsonima crispa","Byrsonima crispa","Byrsonima crispa","Byrsonima",NA,NA,"Byrscrisp","species","tree",NA
"191","Byrsonima japurensis","Byrsonima japurensis","Byrsonima japurensis","Byrsonima",NA,NA,"Byrsjapur","species","tree","LC"
"192","Byrsonima nitidissima","Byrsonima nitidissima","Byrsonima nitidissima","Byrsonima",NA,NA,"Byrsnitid","species",NA,NA
"193","Byrsonima sp","Byrsonima sp","Byrsonima","Byrsonima",NA,NA,"Byrssp","genus",NA,NA
"194","Byrsonima spicata","Byrsonima spicata","Byrsonima spicata","Byrsonima",NA,NA,"Byrsspica","species","tree",NA
"195","Cactaceae sp","Cactaceae","Cactaceae","Cactaceae",NA,NA,"Cactfm","family",NA,NA
"196","Cactus sp","Cactus sp","Cactus","Cactus",NA,NA,"Cactsp","genus",NA,NA
"197","Caesalpinia andreana","Caesalpinia andreana","Caesalpinia andreana","Caesalpinia","Fabaceae",NA,"Caesandre","species",NA,NA
"198","Caesalpinia cassioides","Caesalpinia cassioides","Caesalpinia cassioides","Caesalpinia","Fabaceae","shrub","Caescass","species","shrub",NA
"199","Caesalpinia coriaria","Caesalpinia coriaria","Caesalpinia coriaria","Caesalpinia","Fabaceae","treelet","Caescori","species","treelet",NA
"200","Caesalpinia granadillo","Caesalpinia granadillo","Caesalpinia granadillo","Caesalpinia","Fabaceae",NA,"Caesgrana","species",NA,NA
"201","Caesolpina sp","Caesalpinia sp","Caesalpinia","Caesalpinia","Fabaceae","tree","Caessp","genus","tree",NA
"202","Caessalpinaceae sp","Caesalpiniaceae","Caesalpiniaceae","Caesalpiniaceae",NA,NA,"Caesfm","family",NA,NA
"203","Caimito sp","Pouteria sp","Pouteria","Pouteria","Sapotaceae","tree","Poutsp","genus","tree",NA
"204","Calea cf","Calea sp","Calea","Calea",NA,NA,"Calesp","genus",NA,NA
"205","Calea sessiliflora","Calea sessiliflora","Calea sessiliflora","Calea",NA,NA,"Calesessi","species",NA,NA
"206","Calli sp","Calliandra sp","Calliandra","Calliandra","Fabaceae",NA,"Callsp","genus",NA,NA
"207","Calliandra magdalenae","Calliandra magdalenae","Calliandra magdalenae","Calliandra","Fabaceae","tree","Callmagd","species","tree",NA
"208","Calliandra pittieri","Calliandra pittieri","Calliandra pittieri","Calliandra","Fabaceae",NA,"Callpitti","species",NA,NA
"209","Calliandra pittierii","Calliandra pittieri","Calliandra pittieri","Calliandra","Fabaceae",NA,"Callpitti","species",NA,NA
"210","Calliandra purdiaei","Calliandra purdiaei","Calliandra purdiaei","Calliandra","Fabaceae",NA,"Callpurdi","species",NA,NA
"211","Calliandra sp","Calliandra sp","Calliandra","Calliandra","Fabaceae",NA,"Callsp","genus",NA,NA
"212","Calliandra trinervia var carbonaria","Calliandra trinervia","Calliandra trinervia","Calliandra","Fabaceae",NA,"Calltrine","species",NA,NA
"213","Callycophyllum candidissimum","Calycophyllum candidissimum","Calycophyllum candidissimum","Calycophyllum","Rubiaceae","tree","Calycand","species","tree",NA
"214","Calophyllum brasiliense","Calophyllum brasiliense","Calophyllum brasiliense","Calophyllum","Calophyllaceae","tree","Calobras","species","tree",NA
"215","Calotropis sp","Calotropis sp","Calotropis","Calotropis",NA,NA,"Calosp","genus",NA,NA
"216","Calycophyllum candidissimum","Calycophyllum candidissimum","Calycophyllum candidissimum","Calycophyllum","Rubiaceae","tree","Calycand","species","tree",NA
"217","Campomanesia aromatica","Campomanesia aromatica","Campomanesia aromatica","Campomanesia",NA,NA,"Camparoma","species","tree","LC"
"218","Capirona decortincas","Capirona decortincas","Capirona decorticans","Capirona",NA,NA,"Capidecor","species","tree",NA
"219","Capirona sp","Capirona sp","Capirona","Capirona",NA,NA,"Capisp","genus",NA,NA
"220","Cappans indica","Capparis indica","Capparis indica","Capparis","Capparaceae",NA,"Cappindic","species",NA,NA
"221","Cappar sp","Capparis sp","Capparis","Capparis","Capparaceae","tree","Cappsp","genus","tree",NA
"222","Capparis adoratisima","Capparis adoratisima","Capparis","Capparis","Capparaceae","tree","Cappsp","genus","tree",NA
